motif_id	sample_id	max_AF_region_count	max_FPS_region_count
BC11A_BC11A_HUMAN.H11MO.0.A	S6R691V_her2	51	47
BC11A_BC11A_HUMAN.H11MO.0.A	98JKPD8_lumA	90	134
BC11A_BC11A_HUMAN.H11MO.0.A	ANAB5F7_basal	43	187
BCL11A_M07926_2.00	PU24GB8_lumB	31	19
BCL11A_M07926_2.00	ANAB5F7_basal	22	107
BCL11A_M07926_2.00	98JKPD8_lumA	55	65
BCL11A_M07926_2.00	S6R691V_her2	21	25
BCL11A_M07926_2.00	2GAMBDQ_norm	95	8
BCL6_BCL6_HUMAN.H11MO.0.A	S6R691V_her2	19	15
BCL6_BCL6_HUMAN.H11MO.0.A	PU24GB8_lumB	12	2
BCL6_BCL6_HUMAN.H11MO.0.A	ANAB5F7_basal	11	54
BCL6_BCL6_HUMAN.H11MO.0.A	98JKPD8_lumA	18	20
BCL6_BCL6_HUMAN.H11MO.0.A	2GAMBDQ_norm	32	1
BHA15_BHA15_HUMAN.H11MO.0.B	2GAMBDQ_norm	52	1
BHA15_BHA15_HUMAN.H11MO.0.B	98JKPD8_lumA	33	32
BHA15_BHA15_HUMAN.H11MO.0.B	PU24GB8_lumB	19	3
BHA15_BHA15_HUMAN.H11MO.0.B	S6R691V_her2	14	22
BHA15_BHA15_HUMAN.H11MO.0.B	ANAB5F7_basal	8	68
BHE40_BHE40_HUMAN.H11MO.0.A	PU24GB8_lumB	7	2
BHE40_BHE40_HUMAN.H11MO.0.A	ANAB5F7_basal	3	23
BHE40_BHE40_HUMAN.H11MO.0.A	98JKPD8_lumA	7	15
BHE40_BHE40_HUMAN.H11MO.0.A	2GAMBDQ_norm	22	1
BHE40_BHE40_HUMAN.H11MO.0.A	S6R691V_her2	7	5
BHLHE22_MA1635.1	PU24GB8_lumB	8	3
BHLHE22_MA1635.1	98JKPD8_lumA	11	40
BHLHE22_MA1635.1	ANAB5F7_basal	11	21
BHLHE22_MA1635.1	S6R691V_her2	8	5
BHLHE22_MA1635.1	2GAMBDQ_norm	31	0
BHLHE40_M07798_2.00	PU24GB8_lumB	7	2
BHLHE40_M07798_2.00	2GAMBDQ_norm	20	1
BHLHE40_M07798_2.00	S6R691V_her2	5	3
BHLHE40_M07798_2.00	ANAB5F7_basal	4	18
BHLHE40_M07798_2.00	98JKPD8_lumA	6	18
BMAL1_BMAL1_HUMAN.H11MO.0.A	2GAMBDQ_norm	24	2
BMAL1_BMAL1_HUMAN.H11MO.0.A	98JKPD8_lumA	13	22
BMAL1_BMAL1_HUMAN.H11MO.0.A	ANAB5F7_basal	8	29
BMAL1_BMAL1_HUMAN.H11MO.0.A	PU24GB8_lumB	9	7
BMAL1_BMAL1_HUMAN.H11MO.0.A	S6R691V_her2	11	5
BRAC_BRAC_HUMAN.H11MO.0.A	PU24GB8_lumB	15	11
BRAC_BRAC_HUMAN.H11MO.0.A	2GAMBDQ_norm	50	8
BRAC_BRAC_HUMAN.H11MO.0.A	S6R691V_her2	16	16
BRAC_BRAC_HUMAN.H11MO.0.A	ANAB5F7_basal	11	31
BRAC_BRAC_HUMAN.H11MO.0.A	98JKPD8_lumA	29	55
CDX1_CDX1_HUMAN.H11MO.0.C	S6R691V_her2	1	9
CDX1_CDX1_HUMAN.H11MO.0.C	PU24GB8_lumB	7	6
CDX1_CDX1_HUMAN.H11MO.0.C	ANAB5F7_basal	4	8
CDX1_CDX1_HUMAN.H11MO.0.C	98JKPD8_lumA	6	7
CDX1_CDX1_HUMAN.H11MO.0.C	2GAMBDQ_norm	14	2
CDX2_CDX2_HUMAN.H11MO.0.A	S6R691V_her2	9	9
CDX2_CDX2_HUMAN.H11MO.0.A	PU24GB8_lumB	5	8
CDX2_CDX2_HUMAN.H11MO.0.A	ANAB5F7_basal	11	22
CDX2_CDX2_HUMAN.H11MO.0.A	98JKPD8_lumA	11	12
CDX2_CDX2_HUMAN.H11MO.0.A	2GAMBDQ_norm	20	5
CDX2_M08131_2.00	2GAMBDQ_norm	21	3
CDX2_M08131_2.00	98JKPD8_lumA	11	11
CDX2_M08131_2.00	ANAB5F7_basal	8	17
CDX2_M08131_2.00	PU24GB8_lumB	4	4
CDX2_M08131_2.00	S6R691V_her2	6	15
CDX2_MA0465.2	2GAMBDQ_norm	24	4
CDX2_MA0465.2	98JKPD8_lumA	14	12
CDX2_MA0465.2	ANAB5F7_basal	8	23
CDX2_MA0465.2	PU24GB8_lumB	8	13
CDX2_MA0465.2	S6R691V_her2	11	13
CEBPA_CEBPA_HUMAN.H11MO.0.A	2GAMBDQ_norm	25	0
CEBPA_CEBPA_HUMAN.H11MO.0.A	98JKPD8_lumA	16	21
CEBPA_CEBPA_HUMAN.H11MO.0.A	S6R691V_her2	5	13
